ROAD TRIP CSV ",."
Version,Language
1500,en


FUEL RECORDS
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Location,Payment,Conditions,Reset,Categories,Flags,Currency Code,Currency Rate,Latitude,Longitude,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
270181,99,"2021-4-17 9:15",4.838,Gal,4.2187,20.41,,20.463,,,,,,,,0,,1,33.844978,-117.243615,386,,,,,0
270324,143,"2021-4-17 13:52",6.546,Gal,4.2102,27.56,,21.8454,,,,,,,,0,,1,33.037212,-115.622564,388,,,,,0
270535,211,"2021-4-23 8:29",11.637,Gal,4.3989,51.19,,18.1318,,,,,,,,0,,1,33.067898,-117.06625,390,,,,,0
270742,207,"2021-5-14 18:39",10.736,Gal,4.4989,48.3,,19.2809,,,,,,,,0,,1,33.068198,-117.066335,392,,,,,0
270973,231,"2021-5-15 14:41",11.763,Gal,4.6986,55.27,,19.6378,,,,,,,,0,,1,33.60566,-114.605653,394,,,,,0
271134,161,"2021-5-16 15:43",10.584,Gal,4.7392,50.16,,15.2116,,,,,,,,0,,1,33.88328,-116.501438,396,,,,,0
271344,210,"2021-6-16 18:18",10.906,Gal,4.5993,50.16,,19.2555,,,,,,,,0,,1,33.067855,-117.066579,398,,,,,0
271543,199,"2021-7-9 19:30",11.691,Gal,4.9987,58.44,,17.0216,,,,,,,,0,,1,33.023629,-117.082605,400,,,,,0
271761,218,"2021-8-6 19:45",11.784,Gal,4.899,57.73,,18.4997,,,,,,,,0,,1,32.937632,-117.112844,402,,,,,0
271974,213,"2021-8-22 13:12",12.187,Gal,4.899,59.7,,17.4776,,,,,,,,0,,1,33.145727,-117.241971,404,,,,,0
272181,207,"2021-9-2 17:27",11.453,Gal,4.7987,54.96,,18.0739,,,,,,,,0,,1,33.068053,-117.066215,406,,,,,0
272381,200,"2021-9-9 19:05",11.202,Gal,4.7991,53.76,,17.854,,,,,,,,0,,1,33.067959,-117.06623,408,,,,,0
272575,194,"2021-9-17 17:38",11.447,Gal,4.7986,54.93,,16.9477,,,,,,,,0,,1,33.067931,-117.066624,410,,,,,0
272782,207,"2021-10-15 8:57",11.215,Gal,4.9987,56.06,,18.4574,,,,,,,,0,,1,33.018167,-117.075191,412,,,,,0
273003,221,"2021-10-23 15:31",11.974,Gal,4.8989,58.66,,18.4567,,,,,,,,0,,1,33.068159,-117.066666,414,,,,,0
273173,170,"2021-10-30 11:33",9.197,Gal,4.8788,44.87,,18.4843,,,,,,,,0,,1,33.925944,-116.978027,416,,,,,0
273373,200,"2021-10-31 12:08",11.122,Gal,4.9991,55.6,,17.9824,,,,,,,,0,,1,33.068132,-117.06639,418,,,,,0
273569,196,"2021-11-6 13:40",9.897,Gal,4.7489,47,,19.804,,,,,,,,0,,1,34.989613,-118.940706,420,,,,,0
273679,110,"2021-11-6 15:36",7.306,Gal,4.9986,36.52,,15.0561,,,,,,,,0,,1,36.253166,-120.238596,422,,,,,0
273874,195,"2021-11-7 16:08",11.247,Gal,4.9987,56.22,,17.338,,,,,,,,0,,1,37.762785,-122.434561,424,,,,,0
274039,165,"2021-12-11 16:27",9.961,Gal,4.9995,49.8,,16.5646,,,,,,,,0,,1,37.595855,-122.503321,426,,,,,0
274251,212,"2022-1-27 17:47",11.086,Gal,4.899,54.31,,19.1232,,,,,,,,0,,1,37.762726,-122.434752,428,,,,,0
274402,151,"2022-6-9 19:31",10.919,Gal,6.899,75.33,,13.8291,,,,,,,,0,,1,38.249416,-122.626582,430,,,,,0
274569,167,"2022-6-12 15:32",7.911,Gal,5.7667,45.62,,21.1098,,,,,,,,0,,1,37.929562,-122.516417,432,,,,,0
274761,192,"2022-7-14 14:27",11.32,Gal,6.3993,72.44,,16.9611,,,,,,,,0,,1,37.762638,-122.434588,434,,,,,0
274852,91,"2022-8-28 14:59",6.097,Gal,5.6995,34.75,,14.9254,,,,,,,,0,,1,37.902484,-122.511524,436,,,,,0
275060,208,"2022-9-2 10:41",10.125,Gal,5.3985,54.66,,20.5432,,,,,,,,0,,1,38.00711,-122.544506,438,,,,,0


MAINTENANCE RECORDS
Description,Date,Odometer (mi.),Cost,Note,Location,Type,Subtype,Payment,Categories,Reminder Interval,Reminder Distance,Flags,Currency Code,Currency Rate,Latitude,Longitude,ID,Notification Interval,Notification Distance
"Clutch Linkage Replaced","2016-12-23 17:30",231800,,"Replaced part welded by BNC. Difficult to remove, cotter pin looked reused","2456 Azure Coast Drive La Jolla 92037",Service,,,,,,0,,1,32.850537,-117.250018,5,,
"Clutch MC/SC/bleed","2016-12-26 16:30",231810,,"Replaced by me with Suzuki parts from eBay. Engages and disengages well but feels different. ","2456 Azure Coast Drive La Jolla 92037",Service,,,,"1y",,64,,1,32.850537,-117.250018,3,"1w",
"Oil Change","2017-2-16 14:40",233391,,"Plugs 1 and 3 checked ok. Tires rotated nail in driver front. Rotella T6 plus some M1 10W-30","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,0,,1,32.850532,-117.250142,9,"1w",100
"Battery","2017-3-23 9:39",234292,108.22,"Pep Boys size 85",,Service,,,,,,0,,1,32.851299,-117.071976,11,,
"Oil Change","2017-5-6 20:14",236658,,"All Rotella T6, Suzuki filter, forgot Blackstone. Tires rotated. ","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,64,,1,32.850532,-117.250142,13,"1w",300
"Upper Coolant Hose","2017-5-6 20:15",236658,,"Burped and coolant topped off","2456 Azure Coast Drive La Jolla 92037",Service,,,,,,0,,1,32.824147,-117.184311,15,,
"Oil Change","2017-7-15 15:15",240192,,"All Rotella T6. Took UOA sample. ","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,64,,1,32.850532,-117.250142,17,"1w",300
"Air Filter","2017-7-15 15:15",240192,,"Suzuki Air Filter","2456 Azure Coast Drive La Jolla 92037",Service,,,,"1y",,64,,1,32.850399,-117.250064,19,,
"Rotate Tires","2017-7-15 15:16",240193,,"36.5psi. Side walls worn on old fronts","2456 Azure Coast Drive La Jolla 92037",Service,,,,,,0,,1,32.850394,-117.249896,21,,
"Oil Change","2017-9-3 15:21",243330,,"All 5.5qt Rotella T6. Suzuki filter. No rotation. ","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,64,,1,32.850532,-117.250142,23,"1w",300
"Oil Change","2017-11-2 19:06",246630,,"Rotella T6, Suzuki filter 5.5qt","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,64,,1,32.850532,-117.250142,26,"1w",300
"Spark Plugs","2017-12-10 23:01",248778,10,,"2456 Azure Coast Drive La Jolla 92037",Service,,,,,,0,,1,32.850297,-117.249634,30,,
"Shifter Bushing","2017-12-10 23:01",248779,15,,"2456 Azure Coast Drive La Jolla 92037",Service,,,,,,0,,1,32.850297,-117.249634,28,,
"Oil Change","2018-1-20 18:17",249952,,"5.5 qt Rotella T6
Suzuki Oil Filter
25 ft/lb Drain Plug","2456 Azure Coast Drive La Jolla 92037",Service,,,,,3333,64,,1,32.850532,-117.250142,35,"1w",300
"Oil Change","2020-5-21 16:42",260804,,,"Oil Changers Poway",Service,,,,,3333,0,,1,32.951533,-117.060375,37,"1w",300
"Battery","2020-9-30 20:41",263900,185.56,,"Autozone",Service,,,,,,0,,1,32.955469,-117.041383,39,,
"Oil Change","2020-11-1 15:21",265018,,,"Oil Changers Poway",Service,,,,,3333,0,,1,,,89,"1w",300
"Spark Plugs","2020-11-28 12:43",265891,13.96,"NKG 6962",,Service,,,,,,0,,1,33.053627,-117.069726,41,,
"Checked PCV Valve","2020-11-28 12:44",265891,,"Blow from head no blow from intake",,Service,,,,,,0,,1,33.053601,-117.069712,43,,
"Rear Trailing Arms","2020-12-6 12:34",266093,,"Moog, 65 lb/ft, yellow paint",,Service,,,,,,0,,1,33.053661,-117.069701,45,,
"Air Filter","2020-12-12 10:53",266298,,"Suzuki filter from RockAuto",,Service,,,,"1y",,0,,1,,,47,,
"Rear Upper Control Arm","2020-12-15 21:59",266298,,"AC Delco, tight on body, one diff bracket bolt cross threaded (driver front)",,Service,,,,,,0,,1,33.05367,-117.069561,49,,
"Rear Wiper Blade","2020-12-15 22:00",266298,,"Anco",,Service,,,,,,0,,1,33.053639,-117.069503,51,,
"Fuel Filter","2020-12-24 19:21",266522,,"Delco",,Service,,,,,,0,,1,33.053729,-117.069292,53,,
"Tighten Trailing Arms","2020-12-24 19:22",266522,,,,Service,,,,,,0,,1,33.053546,-117.069467,55,,
"Remove Hood Cover","2020-12-24 19:22",266522,,,,Service,,,,,,0,,1,33.053655,-117.069342,57,,
"Front Control Arms","2021-1-8 11:03",267261,,,,Service,,,,,,0,,1,33.052785,-117.067338,59,,
"Sway Bar Bushings And Links","2021-1-8 11:04",267261,,,,Service,,,,,,0,,1,33.055947,-117.071583,61,,
"Lift Kit","2021-1-25 12:02",267620,,,,Service,,,,,,0,,1,33.053823,-117.069442,63,,
"Strut Mounts","2021-1-25 12:03",267620,,,,Service,,,,,,0,,1,33.053798,-117.069477,65,,
"Removed Sway Bar","2021-1-30 15:56",267900,,,,Service,,,,,,0,,1,32.947179,-117.107082,67,,
"New Left CV","2021-2-26 12:08",268376,,,,Service,,,,,,0,,1,33.131338,-117.121557,71,,
"New Left Control Arm","2021-2-26 12:08",268376,,,,Service,,,,,,0,,1,33.131313,-117.121543,69,,
"New Right Tie Rod","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.131366,-117.121574,77,,
"New Right Strut Mount","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.131364,-117.121585,81,,
"New Left Tie Rod","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.131347,-117.121551,73,,
"New Left Strut Mount","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.131376,-117.121588,79,,
"New Center Link","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.13134,-117.121572,75,,
"Alignment","2021-2-26 12:09",268376,,,,Service,,,,,,0,,1,33.131371,-117.121573,83,,
"Oil Change","2021-4-11 16:42",269956,,,"Oil Changers Poway",Service,,,,,3333,0,,1,32.951447,-117.060291,85,"1w",300
"Tire Rotation","2021-4-11 19:46",269966,,"Spare to RR
RR to RF
RF to LR
LR washed to LF
LF to spare",,Service,,,,,,0,,1,33.053682,-117.069332,87,,


ROAD TRIPS
Name,Start Date,Start Odometer (mi.),End Date,End Odometer,Note,Distance,ID,Type,Categories,Flags
"Fall 2016","2016-9-1",231520,"2016-12-31",232141,,621,1,Report,,14
"My First Road Trip","2016-12-16",231729,,,,,2,Report,,14
"Spring 2017","2017-1-1",232141,"2017-4-30",236069,,3928,3,Report,,14
"Summer 2017","2017-5-1",236280,"2017-8-31",242853,,6573,4,Report,,14


VEHICLE
Name,Odometer,Units,Notes,Tank Capacity,Tank Units,Home Currency,Flags,IconID,FuelUnits,TripComp Units,TripComp Speed,TripComp Temperature,TripComp Time Enabled,Odometer Shift,Tank 1 Type,Tank 2 Type,Tank 2 Units
"Suzuki Sidekick Sport","mi","MPG","License Plate:
VIN:

Insurance Name:
Policy No.:
Phone:

Oil Type:

Notes:
",,gal,USD,16385,0,0,,,,,


TIRE LOG
Name,Start Date,Start Odometer (mi.),Size,Size Correction,Distance,Age,Note,Flags,ID,ParentID
"Default Tires",,,,,43540,"5 years 8 months",,0,1,0


VALUATIONS
Type,Date,Odometer,Price,Notes,Flags

